"rec_id","continent_fk","country_fk","processing_method","harvest_year","expiration_date"
740,"Africa","Malawi","Washed - Wet","2014","2015-11-04"
741,"South America","Brazil","Natural - Dry","2014","2015-10-16"
742,"Asia","Taiwan","Washed - Wet","2013","2014-12-26"
743,"North America","Mexico","Washed - Wet","2013","2014-07-19"
744,"North America","United States","Natural - Dry","2013","2014-05-03"
745,"North America","Mexico","Washed - Wet","2012","2013-09-27"
746,"North America","Guatemala","Washed - Wet","2012","2013-09-19"
747,"North America","Mexico","Washed - Wet","2012","2013-08-31"
748,"North America","Mexico","Washed - Wet","2012","2013-08-30"
749,"North America","El Salvador","Washed - Wet","2012","2013-08-21"
750,"North America","Mexico","Washed - Wet","2012","2013-07-11"
751,"North America","Mexico","Washed - Wet","2012","2013-04-02"
752,"South America","Colombia","Washed - Wet","2012","2013-02-21"
753,"South America","Colombia","Washed - Wet","2012","2013-02-08"
754,"South America","Brazil","Natural - Dry","2012","2013-01-22"
755,"South America","Colombia",NULL,NULL,"2012-02-29"
756,"South America","Brazil","Natural - Dry","2016","2017-08-16"
757,"North America","Honduras","Washed - Wet","2015","2017-06-09"
758,"North America","Nicaragua",NULL,NULL,"2017-03-15"
759,"Africa","Tanzania","Washed - Wet","2015","2016-11-15"
760,"Africa","Tanzania","Washed - Wet","2015","2016-10-19"
761,"South America","Brazil","Natural - Dry","2015","2016-10-07"
762,"Asia","Thailand","Washed - Wet","2014","2016-06-08"
763,"North America","Honduras","Washed - Wet","2015","2016-04-14"
764,"North America","Guatemala","Washed - Wet","2014","2016-03-20"
765,"South America","Brazil","Natural - Dry","2014","2016-01-15"
766,"Africa","Tanzania","Washed - Wet","2014","2015-12-15"
767,"North America","Mexico","Washed - Wet","2013","2015-07-15"
768,"North America","Mexico","Washed - Wet","2013","2015-04-10"
769,"Asia","Taiwan","Other","2013","2014-12-26"
770,"Asia","Taiwan","Washed - Wet","2012","2014-05-29"
771,"South America","Colombia","Washed - Wet","2013","2014-03-20"
772,"North America","Mexico","Washed - Wet","2012","2013-09-27"
773,"North America","Guatemala","Washed - Wet","2012","2013-08-02"
774,"North America","Mexico","Washed - Wet","2012","2013-07-11"
775,"North America","Mexico","Washed - Wet","2012","2013-07-02"
776,"South America","Colombia",NULL,"2010","2012-02-09"
777,"Asia","Indonesia","Washed - Wet","2017","2018-08-03"
778,"South America","Colombia","Washed - Wet","2016","2018-02-20"
779,"South America","Brazil","Natural - Dry","2016","2017-08-16"
780,"South America","Brazil","Natural - Dry","2015","2016-10-07"
781,"North America","Costa Rica","Washed - Wet","2015","2016-04-09"
782,"Africa","Tanzania","Washed - Wet","2014","2016-03-24"
783,"Africa","Tanzania","Washed - Wet","2014","2016-01-08"
784,"South America","Colombia","Washed - Wet","2013","2015-09-12"
785,"North America","Costa Rica","Washed - Wet","2013","2015-03-21"
786,"North America","United States","Natural - Dry","2012","2013-11-26"
787,"North America","Mexico","Washed - Wet","2012","2013-09-10"
788,"North America","Mexico","Washed - Wet","2012","2013-08-30"
789,"North America","Mexico","Washed - Wet","2012","2013-07-26"
790,"Asia","Vietnam","Natural - Dry","2012","2013-07-23"
791,"North America","Mexico","Washed - Wet","2012","2013-07-11"
792,"North America","United States","Washed - Wet","2012","2013-02-22"
793,"South America","Colombia",NULL,"2011","2012-04-17"
794,"North America","Honduras","Washed - Wet","2017","2018-06-01"
795,"North America","Honduras","Natural - Dry","2016","2018-04-06"
796,"South America","Brazil","Natural - Dry","2016","2017-08-16"
797,"Africa","Tanzania","Washed - Wet","2015","2016-11-15"
798,"Asia","Laos","Washed - Wet","2015","2016-11-04"
799,"Africa","Tanzania","Washed - Wet","2014","2015-12-18"
800,"Africa","Malawi","Washed - Wet","2014","2015-10-31"
801,"Asia","Taiwan","Washed - Wet","2013","2015-07-22"
802,"Asia","Thailand","Washed - Wet","2013","2015-06-20"
803,"North America","Costa Rica","Washed - Wet","2013","2015-06-09"
804,"North America","Honduras","Washed - Wet","2014","2015-04-30"
805,"South America","Colombia","Washed - Wet","2013","2014-09-13"
806,"Asia","Taiwan","Washed - Wet","2012","2014-06-03"
807,"South America","Brazil","Natural - Dry","2012","2014-05-21"
808,"North America","Mexico","Washed - Wet","2012","2013-07-11"
809,"South America","Brazil","Natural - Dry","2012","2013-06-04"
810,"South America","Brazil","Semi-washed - Semi-pulped","2012","2013-04-11"
811,"North America","Guatemala","Natural - Dry","2012","2013-03-26"
812,"South America","Brazil","Semi-washed - Semi-pulped","2012","2013-02-16"
813,"North America","Guatemala","Washed - Wet","2012","2013-01-31"
814,"South America","Colombia",NULL,NULL,"2012-07-28"
815,"North America","Guatemala","Washed - Wet","2017","2018-08-22"
816,"North America","Guatemala","Washed - Wet","2017","2018-06-22"
817,"North America","Honduras","Washed - Wet","2017","2018-06-01"
818,"South America","Brazil","Natural - Dry","2016","2017-10-26"
819,"North America","El Salvador","Washed - Wet","2014","2016-05-04"
820,"North America","Guatemala","Washed - Wet","2015","2016-04-19"
821,"Africa","Tanzania","Washed - Wet","2014","2016-01-06"
822,"North America","Nicaragua","Washed - Wet","2013","2015-07-29"
